150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA BANDUNG,0.11,0,0.04,0.01,0.08,0.1,0.07,0.04,0,0.06,0,0.03,-,0.11,0,0.04,0.01,0.08,0.1,0.07,0.04,0,0.06,0,0.03,-
KOTA CIREBON,0.31,0.01,0.4,0.81,0.13,0.47,0,0.06,0.12,0.03,0.19,0.63,-,0.31,0.01,0.4,0.81,0.13,0.47,0,0.06,0.12,0.03,0.19,0.63,-
KOTA BEKASI,0.44,0.15,0.01,0.13,0.01,0,0.03,0.15,0.03,0.07,0.01,0,-,0.44,0.15,0.01,0.13,0.01,0,0.03,0.15,0.03,0.07,0.01,0,-
KOTA DEPOK,0.17,0.1,0.14,0.51,0.03,0.08,0.06,0.06,0,0,0,0.36,-,0.17,0.1,0.14,0.51,0.03,0.08,0.06,0.06,0,0,0,0.36,-
KOTA TASIKMALAYA,0.01,0,0,0.12,0.05,0.01,0.02,0.06,0.03,0.03,0.04,0,-,0.01,0,0,0.12,0.05,0.01,0.02,0.06,0.03,0.03,0.04,0,-
CILACAP,0.02,0.53,0.08,0.61,0.23,0.34,0,0.03,0.09,0,0.03,0.03,-,0.02,0.53,0.08,0.61,0.23,0.34,0,0.03,0.09,0,0.03,0.03,-
PURWOKERTO,0.43,0.55,0.26,0.37,0.11,0,0,0,0.05,0,0,0.33,-,0.43,0.55,0.26,0.37,0.11,0,0,0,0.05,0,0,0.33,-
KAB WONOSOBO,0,0,0.27,0,0.04,0,0,0.08,0,0,0.07,0.25,-,0,0,0.27,0,0.04,0,0,0.08,0,0,0.07,0.25,-
KAB WONOGIRI,0.12,0.33,0.07,0.58,0.02,0.47,0.1,0,0,0,0.13,0.03,-,0.12,0.33,0.07,0.58,0.02,0.47,0.1,0,0,0,0.13,0.03,-
KAB REMBANG,0.26,0.13,0.3,0.68,0.11,0.07,0.25,0.05,0,0.04,0.08,0.08,-,0.26,0.13,0.3,0.68,0.11,0.07,0.25,0.05,0,0.04,0.08,0.08,-
