150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 10 Penyediaan Makanan dan Minuman / Restoran (Persen),,,,,,,,,,,,,,,,,,,,,,,,,
,Penyediaan Makanan dan Minuman / Restoran,,,,,,,,,,,,,Jasa Pelayanan Makanan dan Minuman,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB BANGKA BARAT,0.73,0.73,0.73,1.15,1.25,0.53,0.53,0.53,0.85,0.85,0.85,0.85,-,0.73,0.73,0.73,1.15,1.25,0.53,0.53,0.53,0.85,0.85,0.85,0.85,-
KAB BELITUNG TIMUR,1.28,1.25,1.25,1.25,1.25,1.25,1.39,1.39,1.39,1.39,0.78,0.14,-,1.28,1.25,1.25,1.25,1.25,1.25,1.39,1.39,1.39,1.39,0.78,0.14,-
KOTA PANGKAL PINANG,0.63,0.82,0.52,0.52,0.65,0.83,1.29,1.56,1.22,1.22,1.22,1.22,-,0.63,0.82,0.52,0.52,0.65,0.83,1.29,1.56,1.22,1.22,1.22,1.22,-
KAB KARIMUN,5.29,5.23,4.81,4.94,6.12,6.24,4.31,3.94,3.99,3.54,2.47,2.58,-,5.29,5.23,4.81,4.94,6.12,6.24,4.31,3.94,3.99,3.54,2.47,2.58,-
KOTA BATAM,2.43,3.39,3.39,2.33,2.62,2.62,2.69,2.69,2.96,3.35,3.38,3.38,-,2.43,3.39,3.39,2.33,2.62,2.62,2.69,2.69,2.96,3.35,3.38,3.38,-
KOTA TANJUNG PINANG,0.94,0.94,0.94,1.02,0.88,0.32,0.32,0.32,0.18,0.18,0.18,0.14,-,0.94,0.94,0.94,1.02,0.88,0.32,0.32,0.32,0.18,0.18,0.18,0.14,-
KOTA JAKARTA,2.55,2.38,2.29,1.87,1.43,1.43,1.15,1.3,1.32,1.08,0.9,0.83,-,2.55,2.38,2.29,1.87,1.43,1.43,1.15,1.3,1.32,1.08,0.9,0.83,-
KAB BANDUNG,2.17,2.35,2.5,2.35,2.16,1.18,1.18,0.96,0.82,0.99,0.73,0.75,-,2.17,2.35,2.5,2.35,2.16,1.18,1.18,0.96,0.82,0.99,0.73,0.75,-
KAB MAJALENGKA,1.31,1.41,1.38,1.45,1.51,1.42,1.35,0.91,1.01,1.02,0.78,0.94,-,1.31,1.41,1.38,1.45,1.51,1.42,1.35,0.91,1.01,1.02,0.78,0.94,-
KAB SUBANG,2.24,2.39,2.4,2.4,2.4,2.29,1.94,0.98,0.98,0.98,0.98,0.49,-,2.24,2.39,2.4,2.4,2.4,2.29,1.94,0.98,0.98,0.98,0.98,0.49,-
