150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inflasi Bulanan (M-to-M) (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA DUMAI,2.74,-0.9,-0.22,1.87,-2.48,-0.46,1.5,2.95,3.1,-0.49,-1.73,2.32,-,3.46,-1.35,-0.32,2.22,-3.19,-0.62,1.78,3.52,3.84,-0.59,-2.31,2.95,-,0.01,0.14,0.33,0.07,0.3,0.05,0.13,1.11,0.35,-0.17,0.52,-0.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.11,1.16,0.04,0.7,0.31,0.16,0.55,0.67,0.15,0,0.59,0.15,-
KAB KERINCI,2.92,0.47,0.32,2.03,-2.43,1.47,3.13,0.54,0.94,0.32,-2.04,0.97,-,3.69,0.49,-0.62,2.54,-3.1,1.65,4,0.67,1.13,0.38,-2.82,1.12,-,0,-0.07,19.15,0,0,0,0,0,0,0,0.09,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.18,0.53,1.05,0.22,0,1.09,0.03,0.03,0.31,0.08,1.08,0.47,-
MUARA BUNGO,3.35,-0.79,0.82,2.12,-1.81,-0.86,2.08,1.01,0.89,-0.36,-0.81,1.45,-,4.36,-1.23,0.99,2.39,-2.41,-1.17,2.7,1.17,1.02,-0.66,-1.15,1.88,-,-0.11,-0.08,0.32,2.59,-0.23,0.23,-0.06,-0.63,0.03,0.21,0.32,-0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.98,0.19,0.81,0.46,0.18,0.05,0.68,0.54,0.82,0.4,0,-
KOTA JAMBI,2.77,-0.57,0.3,0.76,-2.11,-0.27,1.18,0.26,2.11,-1.56,0.69,1.78,-,3.33,-0.72,0.31,0.81,-2.53,-0.36,1.42,0.31,2.5,-1.98,0.58,2.13,-,0.02,-0.19,-0.05,0.3,0,-0.36,-0.08,0,0.21,-0.01,0.07,0.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.49,0.42,0.64,0.06,0.53,0.03,0,0.18,0.94,2.02,0.06,-
KAB OGAN KOMERING ILIR,2.16,-0.4,0.97,0.19,-0.49,-0.44,0.22,-0.48,-0.18,-0.23,0.08,1.23,-,1.75,-0.51,1.2,0.23,-0.62,-0.55,0.29,-0.61,-0.36,-0.3,0.11,1.57,-,-0.73,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.61,0,0.21,0,0,0,0,0,0.57,0,0,0,-
KAB MUARA ENIM,2.06,-1.73,1.34,1.16,-2.19,-0.13,0.15,0.47,0.53,-0.72,0,1.4,-,2.37,-2.16,1.67,1.36,-2.76,-0.18,0.19,0.59,0.65,-0.76,0,1.75,-,1.97,0,0,1.57,0.47,0.16,0,0,0,-2.45,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.45,0,0,0,0,0,0,0,0,0,0,0,-
KOTA PALEMBANG,2.43,-0.78,1.22,0.45,-0.49,0.02,0.39,-0.4,0.61,-0.17,0.03,0.91,-,2.89,-0.92,1.44,0.57,-0.68,0.02,0.42,-0.49,0.53,-0.26,0.03,1.07,-,0,0.18,-0.08,-0.65,1.88,-0.05,0.15,0.15,-0.07,0.64,-0.09,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,0,0.12,0,0,0.06,0.12,0.07,1.45,0.14,0.07,0.07,-
KOTA LUBUK LINGGAU,1.67,0.53,1.06,-0.02,-1.07,0.08,0.28,0.26,0.29,-0.65,-0.23,0.84,-,1.98,0.6,1.21,-0.08,-1.41,0.05,0.28,0.21,0.21,-0.83,-0.31,1.02,-,0.08,0.32,0.92,1.15,0.18,0,-0.35,0,-0.02,0.87,0.02,-0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27,0.1,0.11,0.05,0.68,0.32,0.45,0.63,0.86,0.04,0.14,0.04,-
KAB MUKO MUKO,3.55,-1.06,0.28,1.97,-0.97,-1.64,1.75,0.73,2.84,0.02,-0.58,0.76,-,4.55,-1.39,0.36,2.58,-1.26,-2.15,1.99,0.8,3.71,0.02,-0.87,0.97,-,-0.03,0,0,0,0,0,0.96,0.03,0,0,0.61,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.48,0,0,0,0,0,0.99,0.63,0.02,0,0.36,0.06,-
KOTA BENGKULU,2.15,-0.25,-0.15,0.39,-0.77,0.25,0.82,0.53,2.03,0.16,0.01,1.39,-,2.61,-0.48,-0.15,0.41,-1,0.15,0.96,0.54,2.58,-0.01,0.07,1.7,-,0.74,0.29,-1.31,0.64,-0.6,1,0.11,0,-1.35,2.14,-0.9,0.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43,0.61,0.17,0.24,0.3,0.43,0.45,0.62,0.46,0.39,0,0.05,-
